工作岗位,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司地址,企业领域,公司规模
活动运营实习生,100-101元/天,3个月,工作职责：1、 立足项目目标，结合重要节点，参与面向目标用户的活动策划；2、 负责活动物料准备，包括活动H5文案、重要活动推文、常规活动海报；3、 跟进活动执行情况，优化活动执行效果，并进行活动的收尾工作；4、 其他事宜岗位要求：1、态度端正、认真负责、思路敏捷、5G冲浪达人、有一定文案能力、沟通表达无鸭梨；2、有活动经验和设计能力优先；3、工作地点在中关村，需坐班，可实习3-6个月，一周5天（接受偶尔请假），面试通过后1周内到岗最佳，不在北京或长时间不能到岗勿投哦！！！你将获得：1、获得互联网运营实战经验2、一份还可以的实习工资+实习证明3、团队成员年轻，工作氛围好，leader nice；4、实习生众多，颜值高的小姐姐和小哥哥也很多，说不定能顺便解决你的单身问题哦；5、偶有明星出没，说不定可以带薪追追星~,不限,1人,2024-09-30 11:29,搜狐,北京 - 海淀区 - 科学院南路2号院3号楼搜狐媒体大厦,互联网|游戏|软件,3001人及以上
海外运营实习生,180-200元/天,3个月,工作职责：岗位职责：1.对运营数据分析和数据可视化，包括且不限于主播、营收、活动数据等2.协同本地员工解决用户侧反馈、需求3.参与活动运营，包括活动配置、上线和复盘等4.筛选优质创作者和内容进行推送岗位要求：岗位要求1. 本科或研究生在读学生2. 英语6级以上，有良好的书面和口头表达能力，印尼语专业优先3. 适应性和责任心强4. Base深圳，一周到岗5天（最好）,本科,1人,2024-09-25 10:50,腾讯音乐,深圳 - 南山区 - 科兴科学园,互联网|游戏|软件,1001~3000人
电商运营,4-6K/月,6个月,工作职责：1、协助天猫和抖音平台的电商运营工作，整理汇总各项运营数据，分析原因给予改善建议，与团队一起达成销售目标2、快速了解平台操作及公司产品，关注行业动态，收集竞品信息，优化店铺关键词策略，协助电商运营专员的推广工作3、对接平台日常电商活动，落地执行。4、对接客服售前、售后工作的接待处理，订单的审核、系统导入及推单发货。岗位要求：1、本科及以上，医药、电商、广告、计算机、市场营销、国际贸易、会计学等专业优先，能熟练使用wps基础办公软件2、对电商行业有较高的学习热情，对互联网信息敏感；3、适应快节奏工作，抗压能力好；学习能力强，责任心强；阳光积极。4、能够配合工作安排和协调，实习期满6个月的优秀实习生，公司提供毕业转正的机会。你将获得：- 薪酬方面：对标互联网大厂企业的薪资水平，提供具有市场竞争力的薪酬待遇；  - 发展方面：快速发展互联网医药平台，个人发展机会多，您可以接触公司核心业务，用实打实的业务场景为您赋能，助力您的成长；  - 培训方面：新人入职安排制度培训、业务培训、小组组长带教、产品知识培训，帮助您全面了解公司发展，快速提升专业技能；  - 福利方面：提供五险一金、绩效奖金、餐补、高温补贴、节日福利等；  - 工作氛围：公司年轻化，95后居多，扁平化管理，不讲 title，不论资排辈。,本科,2人,2024-09-25 11:53,知原药业,杭州 - 余杭区 - 杭州市余杭区爱力中心B座12层,生物|医药,301~1000人
销售实习生,150-151元/天,2个月,工作职责：职责描述：1. 负责地区销售机会的跟进/转接，协助执行客户联络2. 完成报价单/合同、标书、文件整理等流程性工作岗位要求：任职要求：1. 本科或研究生在读，理工科优先，通信/自动化/光学类专业优先2. 表达流利，热情大方，最好比较细心3. 有自驱力，能有效完成分配的实习任务,本科,1人,2024-09-26 08:59,虹科电子,广州 - 黄埔区 - 广州市黄埔区开泰大道30号佳都PCI科技园6号楼1-7层上海 - 闵行区 - 上海市闵行区紫星路588号2幢703室,IT|通信|电子,51~100人
内网运营,200-220元/天,3个月,工作职责：岗位职责：1. 支持员工沟通渠道、员工沟通项目数据整理、分析，参与调研，洞察用户行为，发现问题，提出改进建议。2. 支持员工社区日常运营，进行年轻化的内容、活动策划，营造用户喜爱、积极的社区氛围。3. 支持组内日常事务。岗位要求：岗位基本要求：1. 实习时间满3个月起，每周到岗至少3天。2. 专业不限，优先考虑新闻、传播、广告、营销等相关专业。3. 较好的沟通表达基础及意愿，具备一定文字功底。4. 有一定数据、表格处理能力，逻辑思维能力较强，对数据敏感。具备以下优先：1. 有产品、运营工作实习经验优先。2. 自媒体创作经验丰富者优先。3. 有HR实习经验者优先。你将获得：岗位亮点：1. 广泛的内容探索空间，深度体验内容产品运营。,本科,1人,2024-09-26 10:01,美团,北京 - 朝阳区 - 望京东路4号恒电大厦,互联网|游戏|软件,1001~3000人
项目助理,145-150元/天,3个月,工作职责：项目实习生（远程）【了解恒上】恒上咨询是一家稳健成长的管理咨询公司，致力于为高新科技（AI、云计算、5G等）、金融、教育科技、文旅等行业中的知名企业，提供高端人力资源解决方案，在细分赛道持续深耕，为客户输出可信的行业市场认知与可用之才；我们的服务包括但不限于：招聘策略制定、高端及高潜人才甄聘；客户包括：亚信系企业，金山，东软，PingCAP，天润融通、智齿科技，宽带资本，新东方文旅集团等。【工作职责】1. 进行特定行业市场调研，查询并整理所需知识点及相关信息，总结生成目标公司表格及或行研报告、报表；2. 根据项目模板编辑候选人简历，生成候选人报告；3. 协助进行业务及数据触发、运营；4. 完成上级交代的其他支持性工作；5. 候选人沟通（含面试通知）及跟进。6. 完成上级交代的其他支持性工作；岗位要求：【岗位要求】7. 一本及以上统招本科/研究生学历，专业包括但不限于行政、经管类等（985、211学校优先）；8. 可连续实习3个月及以上，每周保证4天及以上；9. 学习和沟通能力强、细心负责、积极主动；愿意尝试新工具以提升工作效率；10. 熟练使用Office等各项办公软件。你将获得：【实习福利】11. 薪资150/天，月结；可远程或现场办公；工作时间：工作日9:30-18:30；12. 提升数字化能力、时间管理、结果导向意识等软性技能；13. 理解、洞察多个符合国家支持倡导的行业赛道，获取真实、有价值的状势认知；14. 积极、共赢、利他的共事团队；15. 提供实习证明，对人力资源管理咨询有兴趣的小伙伴，经过实习后愿意继续共事的，有转正机会。,本科,1人,2024-09-26 12:34,恒上咨询,北京 - 通州区 - 万达广场,咨询/法律/人力资源,11~50人
C端产品运营（实习生）,180-181元/天,3个月,工作职责：硬性要求：来公司上班，每周4+天，3个月以上，180元/天，有内容相关实习经验！1.挖掘提炼产品的亮点与卖点，结合当前的市场需求，输出宣传文章、解决方案、标杆案例等，为产品提供优质的高传播性内容；2.参与产品运营体系的搭建工作，从产品、用户、市场等多角度综合考虑拟定运营规划。（以上主要是针对团队负责的成人在职提升的课程，从产品的维度在活动、素材、促销等层面赋能销售，有产品主管1V1带，然后逐步独立负责某一产品）岗位要求：1.本科以上，新闻学、营销学、产品相关专业优先；2.学习力强，对新鲜事物感兴趣，逻辑思维能力强；2.有自媒体运营经验、文字功底好，善用文字清晰表达观点；4.对数据有一定的敏感度，并且能够进行基础的分析总结。你将获得：1.全套标准化运营培训；2.了解在职群体，提前掌握职场晋升秘诀；3.光环管理类课程免费学习（项目、产品、软考、数据分析等）。,本科,2人,2024-09-27 13:54,光环国际,北京 - 昌平区 - 立水桥中东路398号中煤建设集团大厦东段3层光环国际,教育培训,101~300人
投标专员实习生,150-200元/天,6个月,工作职责：1、配合业务部门做好投标工作，根据销售确认应标材料。2、按照招标文件要求和规范和把控时间节点，完成响应材料和投标文件的编制工作。3、负责投标资源的整合，跨部门协助提供招投标专业化支持。4、招投标相关数据采集/分析。5、领导交办的其他工作。岗位要求：1、本科或以上学历；有招投标相关工作经验者优先；2、能熟练运用办公软件，能独立使用Excel制作常规报表图表，了解常用函数的运用；3、工作态度积极开朗，善于思考，学习能力、沟通能力和理解能力强。入职后有2-4周的在岗培训，能够7月底前到岗优先,本科,3人,2024-09-26 13:55,理邦仪器,深圳 - 坪山新区 - 广东省深圳市坪山区坑梓街道金沙社区金辉路15号,生物|医药,1001~3000人
结算实习生,75-100元/天,3个月,工作职责：1、协助部门数据统计分析；2、协助部门档案资料的扫描；3、协助部门业务档案整理归档；4、协助部门打印客户回单及整理；5、协助部门日常会务等事务筹备。岗位要求：1、全日制在校学生，男女均可，本科，经济管理类等专业；2、熟练使用各种办公软件，熟练掌握PowerPoint制作和excel使用；3、沟通能力好，责任感强，具有良好的服务意识和工作态度；4、诚实守信、认真负责，积极主动、吃苦耐劳；5、每周能到岗超4-5天者，优先考虑。相关信息： 1、工作时间：周一至周五，9:00—17:45，每周至少到岗4-5天更佳； 2、工作地点：广州市天河区广州大道中圣丰广场国际金融中心； 3、实习期：至少3个月，实习期满足可开具实习证明。你将获得：实习期：至少3个月，实习期满足可开具实习证明。,本科,1人,2024-09-30 11:01,广汽财务公司,广州 - 天河区 - 广州大道中圣丰广场国际金融中心,金融,51~100人
新业务发展部MBA实习生,399-400元/天,6个月,"工作职责：1.*Support end-to-end deal execution, e.g, conducting industry analysis, developing financial models, building up business cases, preparing legal documents (NDA/Term sheet/LOI/SPA) etc.支持日常的交易执行工作，例如进行行业分析、开发财务模型、建立业务案例、准备法律文件（保密协议/条款清单/意向书/分成协议）等。2.*Manage admin tools (eflow/SAP etc.) and processes, e.g. initiate procurment request, arrange contract/document signing and chopping etc. 负责相关行政管理工具（EFLOW/SAP等）和流程，如发起采购申请、安排合同/文件签署和交割等。*Provide other ad-hoc support where needed其他需要支持的工作。3.业务合作部门包括行研，收并购，战略，法务，财务，市场，销售等。4.MBA实习岗，实习工资高（400RMB/天），office地理位置好。岗位要求：1.头部高校的MBA在读生。有市场调研，财务建模，法律文件支持，咨询/私募/风投实习经验优先。2. 很强的分析及辩证思维能力3. 很强的人际沟通能力4. 学习能力强，工作态度好，团队合作者，良好的服务意识5. 良好的中英文语言能力6.每周至少出勤4天，持续6个月，onsite工作。7.工作认真仔细，具有较强的学习能力和自驱力，拥有高度责任心。8.良好的office操作技能，熟悉Excel和PPT操作9.具有契约精神，对于公司相关项目和数据严格保密。",硕士,2人,2024-09-30 10:07,费森尤斯医疗,上海 - 徐汇区 - 港汇中心2座4601,生物|医药,1001~3000人
新媒体运营实习生,150-200元/天,6个月,工作职责：工作职责：1、负责产品线微信平台的内容产出和日常运营，包括微信公众号、微信社群等；2、执行相应的推广投放计划，提升品牌的影响力与活跃度；3、 跟踪推广效果，对传播效果进行定期总结。岗位要求：1、精通了解微信公众号后台、秀米排版等编辑工具；2、有一定的文案撰写功底，具有一定的审美意识；3、会基础的ps图片处理、pr剪辑等技能；4、平面、视觉、媒体类相关专业或相关经验；5、投递请带上代表作品（文章作品、排版作品）。,本科,3人,2024-09-27 16:34,理邦仪器,深圳 - 坪山新区 - 深圳市坪山区坑梓街道金沙社区金辉路15号理邦仪器,生物|医药,1001~3000人
行政支持实习生,120-144元/天,3个月,工作职责：工作内容：文件翻译部门汇报材料整理资料收集及文档管理其他可能的工作内容岗位要求：要求：金融、会计等相关专业优先英文流利，具备书面翻译能力Microsoft office应用积极正向，良好的学习意愿和能力,本科,1人,2024-09-27 10:33,费森尤斯医疗,上海 - 徐汇区 - 港汇中心2座,生物|医药,1001~3000人
服装公司-办公室样衣整理兼职,160-200元/天,1个月,工作职责：【样衣工招募】长期 十一能来整理直播间样衣配合主播递送样衣聪明机灵兼职薪资160-200一天早班6:30-15:30 晚班15:30-24:30晚班打车报销报名+v 18883319405岗位要求：整理直播间样衣配合主播递送样衣聪明机灵兼职薪资160-200一天早班6:30-15:30 晚班15:30-24:30晚班打车报销报名+v 18883319405,不限,1人,2024-10-01 20:33,绫致时装,北京 - 朝阳区 - 光华路天阶大厦,交通|物流|贸易,3001人及以上
全球医学团队实习生,120-150元/天,3个月,"工作职责：Position summary – BMEG Intern (Clinical Advisor Team) ：Responsible for routine work in Clinical Advisor team like literature related activities to support medical device clinical evaluation projects process and quality control.负责临床顾问团队的日常工作，如文献相关活动，以支持医疗器械临床评估项目的流程和质量控制。Assignment scope & learning opportunities:1. Support clinical advisor team with routine work including literature information collection, clinical evaluation projects management, and ad hoc duties as assigned.支持临床顾问团队的日常工作，包括文献信息收集、临床评估项目管理和分配的临时职责。2. Conduct literature search and review, data analysis and extraction to support medical strategy evaluation.进行文献检索和综述、数据分析和提取，以支持医疗策略评估。3. Conduct proof-reading for Chinese <> English translation to ensure Clinical Evaluation Report quality.对中英文翻译进行校对，以确保临床评估报告的质量。岗位要求：Desired skill & qualifications1. Bachelor’s or Master’s (preferred) degree in medicine, pharmacy and other health related field医学、药学和其他健康相关领域的学士或硕士学位（优先）2. Experience with literature search and data analysis, review/publications writing skills (preferred)有文献检索和数据分析、评论/出版物写作技能经验（优先）3. Good English and Microsoft Office skills良好的英语和微软办公软件技能4. Good responsibility and communication ability良好的责任心和沟通能力",本科,1人,2024-09-30 10:07,费森尤斯医疗,北京 - 朝阳区 - 太阳宫中路,生物|医药,1001~3000人
BD实习生,120-180元/天,3个月,工作职责：1. 协调内部相关部门收集相关信息，并能归纳整理；2. 进行订单信息录入，合同制作，协助报价等销售支持工作；3. 按照公司流程整理、归档合同、协助项目编码及进行开票的申请4. 善于发现问题，并主动寻找解决方案，具备跨部门沟通与协调能力；岗位要求：1. 学历背景：本科及以上学历，医药、市场营销行政等相关专业；2. 熟练使用办公常用软件，包括Word，Excel，PowerPoint等；3. 具有积极主动和奋发努力的态度，良好的人际沟通和协调能力。较强的独立工作能力及团队合作精神。4. 每周出勤4天，如可以全勤，可接受4天来办公室，1天home base；实习时长3个月以上,本科,1人,2024-09-27 10:11,昆翎,上海 - 徐汇区 - 枫林路420号枫林国际中心二期A栋,生物|医药,1001~3000人
采购实习生,175-200元/天,3个月,工作职责：1、完成内部项目以交付客户成果并确定业务改进；2、支持 GTE 供应商管理，专注于 OTD 和数据同步；3、与供应商和内部客户密切沟通；4、在所有情况下应用健康、安全和环境 (HS&E) 标准和程序以确保保持合规性。岗位要求：1、目前就读于工程、采购、供应链管理、金融、经济学或其他工商管理相关领域的学士或硕士学位；2、GPA 成绩保持 3.0（满分 4.0）或您所在国家/地区的同等水平；3、能够流利地说和写英语，并具有有效的沟通技巧；4、具有良好的沟通和交流能力。,本科,1人,2024-09-30 14:54,贝克休斯,上海 - 浦东新区 - 华佗路1号,能源|环保,301~1000人
赛事内容实习生,100-150元/天,3个月,工作职责：主要职责:1、参与体育赛事活动的新闻稿撰写，包括线上和线下。2、协助团队完成各平台的文案编辑和创意内容生产。3、协助团队完成其他新闻传播相关的任务。岗位要求：任职要求:1、目前就读于新闻学、传播学或相关专业优先。2、有新闻作品者优先。3、擅长写新闻通稿，掌握新闻采访、写作，文字撰写及编辑能力突出。优选条件：一周出勤 4天以上，全勤实习优先,本科,1人,2024-09-29 17:33,久事智慧体育,"上海 - 黄浦区 - 中山南路28号8楼B,C室",互联网|游戏|软件,11~50人
人力资源实习生,100-150元/天,3个月,工作职责：1、考勤管理：协助统计公司考勤及请假数据；2、招聘支持：发布职位招聘信息，筛选简历，安排面试；3、培训发展：协助组织培训活动，整理培训台账；4、员工关系：协助处理员工入离职手续，维护和更新员工档案；5、绩效管理：协助收集和整理绩效材料和数据；6、其他：上级交办的其他任务。岗位要求：1、大学本科大二、大三在校学生，管理类相关专业；2、具备一定的数据处理和文案撰写，有主动学习意愿，勤奋踏实自律；3、每周能保证2~3个工作日出勤。优选条件：1、 人力资源管理相关专业优先；2、 985、211在校大学生优先。,本科,1人,2024-09-30 14:05,久事智慧体育,"上海 - 黄浦区 - 中山南路28号8楼B,C室",互联网|游戏|软件,11~50人
营运专员（实习生）,180-200元/天,长期,工作职责：1、协助商家管理工作，包括商家销售管理、商家活动管理、数据分析、坪效沟通、投诉处理及收银管理等；2、配合企划团队在运营过程中的各种活动的组织，促进商业氛围的提高；3、完成领导安排的其它工作。岗位要求：1、本科及以上学历，专业不限 ；2、熟练使用EXCEL、PPT等办公软件；3、有较强的沟通能力及服务意识；4、能吃苦耐劳，保持良好的工作积极性。,本科,1人,2024-09-29 09:45,深圳益田假日世界商业有限公司,深圳 - 坪山新区 - 益田假日世界购物中心,建筑|地产|家居,51~100人
票务运营助理实习生,100-150元/天,6个月,工作职责：一、协助进行APP票务项目数据报表登记，包括：1. 项目票房数据登记；2. 日常订单核对。二、APP票务项目协助工作，包括：1. 协助进行票房规划；2. 协助进行项目配置核对；3. 配合处理相关客服应答工作；4. 配合检查项目上架各项内容是否完备。5. 配合进行项目测试工作。岗位要求：1. 本科及以上学历；2. 一周到岗3天及以上；3. 实习周期6个月以上。,本科,2人,2024-09-30 14:05,久事智慧体育,"上海 - 黄浦区 - 中山南路28号8楼B,C室",互联网|游戏|软件,11~50人
法务实习生,100-150元/天,长期,工作职责：1、协助法务团队进行合同审核与管理工作（1）对各类合同进行初步审查，检查合同条款的完整性、合法性及合规性。（2）协助整理合同档案，确保合同的妥善保存和查阅。2、参与法律文件的起草与修订。（1）根据业务需求，在法务人员的指导下起草简单的法律文件，如通知函、声明等。（2）对现有法律文件进行修订和完善，提高文件的准确性和可操作性。3、协助处理日常法律事务咨询。（1）对公司内部各部门提出的法律问题进行收集和整理，在法务人员的指导下提供初步的法律意见和建议。（2）参与法律问题的研究和分析，为公司决策提供法律支持。4、配合进行法律知识培训与宣传。（1）协助准备法律知识培训材料，如 PPT、案例分析等。（2）参与公司内部法律知识宣传活动，提高员工的法律意识。5、完成领导交办的其他临时性法律工作任务。岗位要求：1. 法律专业本科及以上在读学生，具有扎实的法律专业知识。2. 熟悉基本的法律文书写作和合同审查流程。3. 具备良好的沟通能力和团队合作精神，能够积极主动地与各部门协作。4. 工作认真负责，注重细节，有较强的学习能力和抗压能力。5. 熟练使用办公软件，如 Word、Excel、PowerPoint 等。,本科,1人,2024-09-30 14:05,久事智慧体育,上海 - 黄浦区 - 中山南路28号久事大厦8楼B-C室,互联网|游戏|软件,11~50人
管培生,8-16元/天,6个月,工作职责：工作职责：①负责客户接待、咨询工作，为客户提供专业的房地产置业咨询服务；②负责公司房客源开发与积累，并与客户建立良好的业务合作关系；③负责线上渠道的房产信息维护，打造公司及个人的专业品牌；④了解客户需求，促成房产（一手、二手、新房、豪宅、海外、商铺...）买卖或租赁业务，为客户提供优质的购房/租房体验；⑤为客户的资金安全提供保障，并负责业务跟进和促成买卖双方交易的达成；⑥协助双方合同签署、办理权属转移、房屋过户手续等后续服务工作。岗位要求：①统招本科及以上学历②善于沟通，有较强的语言表达能力；③亲和力强，有良好的判断力和职业操守；④有较强的进取心、学习能力，勇于挑战自我，不甘平庸；⑤有较强的服务意识，做事认真踏实，为人正直诚恳。你将获得：薪酬福利：①新人保障入职首年月薪不低于8000元*最长12个月（实习期间保障薪资5000）～②我们鼓励长期执业，让优秀者更优秀。职业化程度越高，职业竞争力越强，相应会带来更高的业绩与更高的提成比例，收入回报越高！③转正后提成比例范围20%～70%,本科,30人,2024-09-26 15:09,德佑房产,上海 - 静安区 - 沪亭北路772号,互联网|游戏|软件,3001人及以上
行政部实习生,60-80元/天,3个月,工作职责：1. 协助安排外来人员的来访接待和引导工作，电话接听及转接等工作；                           2. 协助负责公司办公环境整体优化，整洁有序，安全到位；                                              3. 协助公司常规行政事务的处理及执行，包括办公设备及设施的维护、文件收发、办公用品管理；                                                                                        4. 配合完成公司活动节日福利的落地工作；                                                              5. 完成领导交待的其他工作。岗位要求：1. 形象好，气质佳，能保证实习3-4个月，一周到岗3-5天；                                                                                          2. 热情、耐心、主动、优秀的服务意识；                                                                        3. 良好的表达沟通能力；                                                                                                   4. 熟练使用日常办公软件。,大专,1人,2024-09-25 08:56,金元顺安基金,上海 - 浦东新区 - 花园石桥路33号,金融,101~300人
体育运营实习生,148-150元/天,3个月,工作职责：1，APP页面推荐更新2，体育相关赛事直播内容运营（五大联赛 中超中甲中乙 足协杯 亚冠）3，自制节目运营上线4，赛后点播内容上线（拆条/集锦/夺冠时刻/采访/全场回看）5，预热物料准备、赛果后相关物料制作6，相关内容整合运营专题制作7，重要新闻点制作岗位要求：1、热爱体育媒体行业，对体育动态有深入了解；2、责任心强，有较强的抗压能力和带领团队攻坚的能力；3、可以接受大夜班，男生优先；,本科,5人,2024-09-24 11:08,咪咕视讯,上海 - 浦东新区 - 云桥路636号,互联网|游戏|软件,1001~3000人
招聘实习生,200-220元/天,3个月,工作职责：岗位职责：我们负责全司HR的招聘工作，我们希望与你一起努力：1.沟通需求：了解清楚业务需求、痛点，讨论清楚人才画像和寻访方向；2.寻访：摸清目标公司HR团队架构，努力与目标候选人建立起联系，了解清楚候选人的诉求，对候选人有初步判断并介绍清楚我们的机会；3.跟进流程：双向沟通候选人及业务部门，协调时间、安排面试，跟进面试全流程；4.支持招聘相关的项目和数据统计工作。岗位要求：岗位基本要求：1.25届及以后的本科或研究生；2.良好的逻辑思维，条理清晰，沟通能力强，踏实肯干，积极上进，细心认真，有责任感；3.能够稳定实习3个月及以上，每周出勤4天以上 。你将获得：岗位亮点：1.能有机会了解中国不同行业优秀企业的HR体系，能有机会了解各司真实的HR工作内容，能有机会接触中国优秀的一批HR，了解他们的成长轨迹；2.专业、勤奋的小伙伴们，给你严格的要求，专业的帮助，保证实习收获满满。,本科,1人,2024-09-24 11:04,美团,北京 - 朝阳区 - 望京东路4号恒电大厦上海 - 杨浦区 - 上海市上海市黄兴路221号互联宝地T6栋,互联网|游戏|软件,1001~3000人
摄影与艺术出版分社营销岗实习生,120-150元/天,3个月,工作职责：电子工业出版社摄影与艺术出版社分社， “有艺”艺术图书品牌，始终秉持用品质阅读致敬美好生活的出版理念，涉及游戏动漫、摄影、设计、美术及艺术启蒙等领域，目前已经出版图书近千种，深受广大读者的喜爱。岗位职责：1、与现有新媒体渠道对接，整理物料，制作推广所需的图文素材。2、开拓挖掘新媒体营销资源，达成图书推广合作。3、完善图书商品页面、监控已上架的链接、数据统计等工作。4、重点图书营销项目，协助完成执行和协同工作。5、完成主管交办的其他工作。岗位要求：学历：本科及以上年龄：不限现所在地：北京（需要办公室坐班）熟练应用office办公软件、熟练使用PS等作图工具。文字功底扎实，具备较强的沟通协调能力。善于学习思考，创新意识强。你将获得：掌握图书营销策划的相关专业知识，与bilibili、网易、腾讯等公司的沟通合作的机会，参加CP漫展、作者线下签售实体活动。,本科,3人,2024-09-23 17:32,电子社,北京 - 丰台区 - 华信大厦电子工业出版社,广告|传媒|文化|体育,301~1000人
摄影与艺术出版分社实习生,面议,3个月,工作职责：（1）协助各大网站相关图书信息维护（2）协助重点图书相关活动策划执行（3）协助新媒体平台的文案设计、撰写、编辑与发布（4）协助新媒体平台（微博、微信、QQ群）的整体运营与推广岗位要求：（1）设计、艺术、摄影、市场营销等相关专业在校学生，课余时间丰富（2）熟悉网络操作，对出版领域、艺术图书感兴趣，对网络宣传有见解，有经验（3）有想法，思想活跃，性格开朗，做活动、出文案均具备独立完成的能力（4）能够主动探索并快速接受图书销售新思路、新方式、新玩法，主动搭建符合市场主流带货渠道,本科,3人,2024-09-23 17:32,电子社,北京 - 丰台区 - 华信大厦电子工业出版社,广告|传媒|文化|体育,301~1000人
华南商务合作助理（实习）,80-100元/天,3个月,工作职责：1、协助完成客户背调，提取核心信息2、协助完成策划方案，参与客户提案3、负责监测行业新闻及广告，每周更新监测简报4、协助完成办公室相关行政事宜岗位要求：1、工作态度认真，耐心细致；2、学习能力强，有责任心；3、英语良好者优先考虑；4、媒体传播、新闻、行政专业者优先；5、本科/研一、研二在校生；6、每周至少出勤4天，全职最佳，能持续实习3个月以上。你将获得：1、与中国最TOP的财经媒体同行2、亲密接触各行业龙头企业、4A广告公司、公关公司3、每日实习补贴4、财新传媒实习证明5、不定期团队聚餐,本科,1人,2024-09-23 15:59,财新传媒,广州 - 越秀区 - 先烈中路69号东山广场1901,广告|传媒|文化|体育,301~1000人
演播室节目实习生,148-150元/天,3个月,工作职责：1.具备成熟的视频剪辑能力/图片剪辑能力/视频包装能力，擅长使用剪映、PR、PS、AE等相关软件；2.每周至少三天能够线下出勤，参与演播室节目的录制和制作；岗位要求：1.靠谱踏实有责任心，能够按照工作要求按时按质按量的完成内容产出；2.对一项或几项体育内容有一定的了解，热爱体育有相关工作经历，能接受早晚班倒班的同学优先。,本科,10人,2024-09-23 14:22,咪咕视讯,上海 - 浦东新区 - 云桥路636号,互联网|游戏|软件,1001~3000人
市场调研实习生,100-150元/天,3个月,工作职责：简历请发到邮箱：Christine.Lu@china.messefrankfurt.com1. 参观各类贸易性展会 2. 做好常规调研数据的采集、整理及分析工作3. 协助领导推进相关调研项目进展岗位要求：1. 工作态度端正，有责任心，有团队协作精神2. 学习能力强，能独立完成工作3. 能快速到岗优先考虑4. 每周到岗三天左右，实习期3个月以上该实习岗位需要广州线下实习！不在广州请勿投递！！,本科,1人,2024-09-27 10:57,光亚法兰克福,广州 - 天河区 - 林和西路9号耀中广场B2616,广告|传媒|文化|体育,11~50人
PR实习生,140-160元/天,3个月,工作职责：上市以来，凡科通过为企业用户 提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！现需要招聘PR实习生，为此，我们声明如下！☆ 弹性打卡，节假日前错峰上下班，享受假期☆ 仪式满满的节日活动，感受节日氛围☆ 羽毛球、篮球、足球等每周体育活动一起嗨，给健康加满分☆ 美味下午茶，减肥是不可能的了「你将会负责」1、协助处理各类侵权事件；2、监控品牌信息曝光情况及论坛、问答平台、自媒体等网络媒体的舆情情况；3、正确引导舆论方向，对舆情内容进行内、外部沟通查实以及相应的处理；4、协助日常重要访客的接待工作；5、完成公司安排的其他工作。岗位要求：「我们希望你」1、专业不限，大二及以上在校学生，每周至少到岗2天，能实习3个月及以上，党员优先；2、有较强责任感、执行力和优秀的团队精神；3、细致认真、善于沟通，积极进取，认真负责；4、了解互联网、新媒体业特点，并熟悉网络信息传播特性及发展趋势；5、对国家法律法规有一定的认识者优先考虑。,大专,1人,2024-09-30 09:43,凡科,广州 - 海珠区 - 凤凰创意园,互联网|游戏|软件,301~1000人
UI设计实习生,180-200元/天,3个月,工作职责：上市以来，凡科通过为企业用户提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！现需要UI设计实习生，为此，我们声明如下！☆ 弹性打卡，节假日前错峰上下班，享受假期☆ 仪式满满的节日活动，感受节日氛围☆ 羽毛球、篮球、足球等每周体育活动一起嗨，给健康加满分☆ 美味下午茶，减肥是不可能的了「你将会负责」1、负责凡科旗下产品各端界面设计、运营设计；2、协助设计师搭建素材、物料整理等；3、完成上级交代的相关工作任务。岗位要求：「我们希望你」1、本科及以上学历，设计相关专业，基本功扎实，每周至少到岗4天，能实习三个月以上；2、熟练XD、PS、office软件的基本操作；3、对界面设计有一定认识，了解各终端设计规范，有交互设计思维；4、执行力强、细心、逻辑清晰、有良好的沟通表达能力；5、投递简历时，请务必附上作品集或作品链接。「优先是你」1、实习时间长；2、有UI设计实习经验或在校期间累积优秀作品集优先。,本科,1人,2024-09-30 09:43,凡科,广州 - 海珠区 - 凤凰创意园,互联网|游戏|软件,301~1000人
