工作岗位,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司地址,企业领域,公司规模,年份,省份
电商客服,193,4个月,： 1 、   作为 电商 平台 官方 客服 ， 通过 在线 服务 形式 解答 客户 电商 平台 使用 过程 中 售 中 售后 问题 咨询 ， 根据 服务 流程 ， 正确 解答 客户 疑问 ； 2 、   通过 后台 处理 工单 形式 解决 客户 平台 交易 售后 问题 ， 客观 、 公正 、 注重 细节 ； 3 、   需要 回访 会员 主动 外呼 电话 问题 解决 ； 4 、   感知 会员 情绪 ， 通过 良好 软 技巧 （ 理解能力 、 沟通 能力 、 表达能力 、 同理 心 、 抗压 能力 ） 安抚 客户 ， 客户 提供 优质 服务 ； 5 、   能够 迅速 识别 业务 风险 ， 拥有 专业 负责 态度 ， 积极 处理 会员 反馈 问题 ； 6 、   能 业务 知识点 更好 理解 ， 融汇贯通 ， 对于 不同 业务 场景 形成 知识 链 。 ： 【 人员 】 1 .   满 18 周岁 - 40 岁 ， 中专 / 高中 学历 以上 2 .   国语 标准 流利 ， 会 说 粤语 ， 较 强 沟通 能力 ， 反应 敏捷 ， 电商 基础 了解 ， 较 强 逻辑思维 能力 ； 3 .   打字 40 / 分钟 或 以上 ； 4 .   接受 轮班制 ； 5 .   良好 客户服务 意识 ， 较 好 沟通 协调 能力 执行 能力 ， 良好 学习 能力 ， 正直 且 注重 承诺 ； 6 .   香港 或 台湾 客户 投诉 处理 经验 优先 考虑 【 时间 】 08 ： 00 - 23 ： 00 ， 排班 天 不 低于 4 小时 排班 出勤 ， 当日 满 8 小时 且 排班 22 点及 以后 下班 服务 人员 ， 额外 给予 班次 25 元 / 人次 ， 月 休 八天 【 薪资 待遇 】 22 元 / 小时 ， 当日 满 8 小时 且 排班 22 点及 以后 下班 服务 人员 ， 额外 给予 班次 25 元 / 人次 【 地址 】 佛山 禅城区 季 华西 路 绿岛 湖 行政 服务中心 B2 座 6 楼 公司 可 提供 住宿,高中,50,2024-09-21,泰伦理信,佛山省禅城区佛山禅城区季华西路绿岛湖行政服务中心B2座6楼,咨询/法律/人力资源,11~50人,2024,佛山
新媒体运营实习生,75,3个月,： 1 .   协助 团队 完成 微公号 ， 小红书 ， 微博 日常 维护 及 内容 策划 。 2 .   定期 发起 线上 活动 ， 负责 活动 策划 、 创意 执行 以及 意见反馈 。 3 .   收集 用户 建议 ， 分析 后台 数据 ， 据 情况 调整 推文 主题 内容 。 4 .   运营 5000 + 粉丝 微信 公众 号 ， 探索 微信 公众 号 用户 增长 方式 。 ： 1 .   留学 相关 主题 一定 了解 或 兴趣 ， 相关 留学 经历 者 优先 。 2 .   热爱 或者 擅长 新 媒体 运营者 优先 ， 新 媒体 运营 经验 者 优先 。 3 .   较 强 逻辑 文案 功底 ， 做事 认真负责 并且 能够 注重 细节 。 4 .   每周 拥有 2 - 3 天 完整 时间 ， 可以 申请 远程 在线 。 5 .   擅 总结 ， 愿意 “ 阅读 量 ” “ 转发 率 ” 负责 ， 偶尔 能 小 创意 。 ： 1 .   具有 行业 竞争力 实习 薪资 （ 可日 、 周结 ） ， 灵活 时间 （ 远程 在线 ） 。 2 .   基础 薪资 基础 上 ， 设置 合理 绩效 奖励 ， 如 按照 阅读 量 增长 奖励 。 3 .   积累 新 媒体 运营 实习 经验 ， 实习期 满 三个 月 ， 表现 优异 开具 实习 证明 。 4 .   运营 5000 + 粉丝 微信 公众 号 ， 探索 微信 公众 号 用户 增长 提升 途径 。 5 .   丰富 学习 探索 机会 ， 90 后 海归 团队 共同 成长 ， 表现 优异 转正 。 6 .   全方位 了解 出国 留学 资讯 ， 学长 学姐 留学 申请 指导 ， 经验 分享 。,本科,1,2024-09-24,小钻教育,杭州省西湖区益乐创富大厦,教育培训,11~50人,2024,杭州
游戏主播,433,长期,： 岗位职责 ： 1 、 至 企业 现场办公 ， 直播 休闲游戏 ； 2 、 观众 互动 ， 网感 好 ， 懂 热点 ； 3 、 上进心 ， 绿色 健康 直播 ； 4 、 性格 活泼开朗 ， 能 创造 良好 直播 效果 氛围 。 ： ： 1 、 游戏 直播 经验 者 优先 ； 2 、 较强 沟通 能力 、 能 适应 不 定时 工作制 ； 3 、 认真负责 ， 态度 积极主动 ， 良好 职业道德 ； 4 、 热爱 直播 ， 休闲类 游戏 较大 兴趣 或者 游戏 经验 。,大专,2,2024-09-24,成蹊,上海省徐汇区漕河泾开发区,互联网|游戏|软件,51~100人,2024,上海
美术实习生,125,长期,"： 1 、 负责 新 媒体 账号 短 视频 内容 选题 、 脚本 编写 、 素材 收集 、 后期 剪辑 制作 流程 ， 完成 高质量 内容 输出 。 编写 归类 总结 文档 ， 定期 复盘 数据 优化 制作 。 2 、 结合 公司 流量 目标 ， 搭建 & 运营 各 平台 短 视频 矩阵 ， 制定 视频 内容 创意 方向 、 把 控 脚本 及 视频 成片 质量 。 3 、 运用 AIGC 技术 生成 或 优化 各类 素材 ， 包括 不 限于 视频 、 文字 、 图片 。 4 、 团队 协作 ， 沟通 制作 需求 ， 确保 成品 符合 项目 。 了解 最新 AI 技术 动态 并 探索 新 应用 方法 ， 包括 但 不 限于 视频 风格 迁移 图像 合成 。 5 、 探索 创新 AIGC 领域 最新 动态 ， 并 其 产品 相结合 ， 寻求 新 实现 方式 。 ： 1 、 本科 及 以上学历 ， 新闻 传播学 、 网络 新 媒体 、 动漫 设计 、 影视制作 相关 专业 优先 。 2 、 具有 创新 精神 ， 网络 文化 敏锐 感知 ， 热衷于 关注 当下 流行 趋势 ， 新 媒体 或 内容 营销 感兴趣 者 优先 。 3 、 AIGC 技术 一定 程度 了解 ， 包括 但 不 限于 诸如 stable   diffusion 、 ComfyUI ， midjourney , runaway ， runway   gen2 ， 可灵 流行 AIGC 工具 。 4 、 能够 独立 完成 短 视频 剪辑 设计 ； 熟练 操作 视频 编辑 软件 ， 包括 但 不 限于 剪映 ， Adobe   Premiere   Pro ,   FinalCutPro 。 5 、 优秀 团队 协作 精神 ， 能够 团队 成员 有效 沟通 协作 。",大专,2,2024-09-24,成蹊,上海省徐汇区姚记科技中心,互联网|游戏|软件,51~100人,2024,上海
成都微著企业管理有限公司,125,3个月,： 1 . 根据 客户 所在 行业 ， 客户 需求 以及 目标 职位 分析 ， 拟定 一套 完善 用人 寻访 目标 公司 候选人 寻访 方案 2 . 执行 寻访 计划 ， 筛选 面试 候选人 ， 初步 甄别 候选人 目标 职位 匹配 度 3 . 沟通 候选人 职位 意向 ， 职业生涯 发展 规划 4 . 撰写 候选人 人才 推荐 报告 ， 推荐 候选人 5 . 协调 客户 公司 候选人 面试 安排 ， 跟进 面试 进展 及时 反馈 面试 过程 问题 6 . 提供 候选人 背景 调查 ， 辅助 候选人 离职 7 . 客户 候选人 后续 跟踪 反馈 ： 1 .   统招 本科 或 硕士 学历 ， 性别 不 限 ， 专业 不限 2 .   适应力 强 ， 稳定性 好 ， 愿意 中高级 人才 推荐 行业 长期 发展 3 .   沟通 技巧 客户服务 技巧 良好 4 .   具有 强烈 实现 个人 成就 意识 5 .   能 积极 应对 挫折 压力 ， 乐于 接受 挑战 6 .   优秀 学习 能力 ， 及 逻辑 辨析 能力 7 .   自我 驱动 ， 结果 导向 8 .   良好 团队 意识 ， 注重 团队 合作,本科,5,2024-09-24,成都微著,眉山省彭山县恒大观澜府,咨询/法律/人力资源,11~50人,2024,眉山
平面设计实习生,165,3个月,： 1 .   根据 公司 项目 ， 协助 资深 设计师 / 总监 完成 项目 方案 创意 方案设计 前期 梳理 ； 2 .   具有 较 好 理解能力 以及 整合 能力 ， 可 根据 已经 确定 方案 完成 相关 平面 物料 延展 ； 3 .   了解 相应 工艺 、 材质 执行 内容 ， 可 执行 平面 物料 打样 ， 并 配合 完成 项目 实际 落地 ； 4 .   协助 完成 公司 内部 文件 （ Credentials / 公众 号 / 网页 ） 设计 以及 更新 ， 文案 编纂 能力 者 佳 。 ： Requires : 1 .   熟练 使用 PS 、 AI 设计 软件 ， 掌握 AE   者 佳 ， 熟练 手绘 者 佳 ； 2 .   性格开朗 者 佳 ， 充足 求知 欲望 好奇心 ， 不断 学习 进步 意愿 ； 3 .   双语 者 佳 。 ： 豪车 奢侈 品牌 项目 经历 行业 大 拿 经验 指导,大专,1,2024-09-11,尚度咨询,上海省徐汇区南宁路970号徐汇万科中心B座,政府/非盈利机构/其他,11~50人,2024,上海
内容营销实习生,130,3个月,： 1 、 内容 运营 ： 协助 同事 完成 或 独立 完成 社交 媒体 （ 公众 号 、 海外 领英 ） 账号 运营 ， 包括 日常 选题 ， 中英文 文案 撰写 ； 2 、 市场 研究 ： 收集 汇总 并 分析 竞争对手 、 行业 信息 及 市场 数据 ； 3 、 项目 支持 ： 负责 策划 并 执行 品牌 传播 相关 活动 并 跟踪 转化 情况 ， 制定 数据 报告 、 月 报 ； 4 、 渠道 运营 ： 协助 支持 官网 、 内容 平台 渠道 日常 运营 内容 更新 ； 5 、 完成 上级 交代 其他 。 ： 1 、 市场营销 / 广告 相关 专业 优先 ， 大三 至 研一 同学 优先 ， 每周 至少 到 岗 三天 ， 至少 实习 3 个 月 ; 2 、 英文 听说读写 水平 优秀 ， 公众 号 运营 、 社交 媒体 运营 经验 经历 优先 ， 图文 美化 能力 视为 加 分项 ； 3 、 具备 较强 人际沟通 能力 ， 以及 逻辑思维 能力 ； 4 、 注重 细节 、 行动 力强 、 学习 能力 强 。 未知领域 极强 求知欲 ， 并 快速 落地 想法 激情 。 ： 1 、 周末 双休 ， 弹性 灵活 上班时间 ； 2 、 高端 舒适 办公 环境 ， 薪资 100 - 160 / 天 ， 免费 三餐 + 下午茶 ； 3 、 多彩的 节日 party + 免费 健身房 ， 大牛 导师 + 丰富 培训 课程 ； 4 、 全球化 业务 格局 视野 ， 无限 潜能 个人成长 空间 ； 5 、 轻松愉快 团队 氛围 ， 我们 想要 同样 简单 快乐 ， 使命 必达 ！,本科,1,2024-09-05,Mobvista汇量科技,广州省天河区猎德天盈广场东塔4344楼,互联网|游戏|软件,1001~3000人,2024,广州
法务实习生,175,3个月,： 1 、 协助 法律 检索 、 法律 问题 研究 ； 2 、 协助 完成 公司 各类 法律 事务处理 、 法律 风险 规避 、 合同 管理 ； 3 、 协助 公司 海内外 法律 文件 翻译 ； 4 、 协助 合作方 资质审查 及 合同 审核 ； 5 、 协助 移动 广告业务 合规 调研 及 日常 审核 ； 6 、 其他 由 法律 合规 部 成员 交办 事项 。 ： 1 、 本科 及 以上学历 在校生 ， 法学 相关 专业 优秀者 、 有律 所 或 公司 法务 实习 经历 者 优先 ； 2 、 法律 英语 优秀 ， 英语 6 级 以上 ； 3 、 每周 实习 4 个 工作日 或 以上 ， 能 稳定 实习 3 个 月 以上 。 ： 1 、 周末 双休 ， 弹性 灵活 上班时间 ； 2 、 高端 舒适 办公 环境 ， 薪资 150 - 200 / 天 ， 免费 三餐 + 下午茶 ； 3 、 多彩的 节日 party + 免费 健身房 ， 大牛 导师 + 丰富 培训 课程 ； 4 、 全球化 业务 格局 视野 ， 无限 潜能 个人成长 空间 ； 5 、 轻松愉快 团队 氛围 ， 我们 想要 同样 简单 快乐 ， 使命 必达 ！,本科,1,2024-09-05,Mobvista汇量科技,北京省朝阳区北辰世纪中心A座10层,互联网|游戏|软件,1001~3000人,2024,北京
达人运营实习生,195,3个月,： 需要 25 及 25 届 之后 同学 ， base 上海 读书 优先 ！ 一周 5 天 全勤 。 1 、 负责 童装 品类 小红书 / 抖音 / 微信 达 人 拓展 及 运营 ， 建立 维护 合作 关系 ， 包含 商品 维护 、 促销 活动 设置 、 数据 统计 分析 ； 2 、 协助 达 人选 品 ， 跟进 合作 协议 签订 、 产品 寄样 、 上架 售卖 、 价格 库存 修改 ； 3 、 达 人 需求 日常 反馈 ， 通过 运营 工具 监控 订单 履约 ， 数据 跟踪 ； 4 、 负责 产品 开团 、 直播 售卖 过程 所遇 问题 协调 解决 ； 5 、 产品 所在 推广 渠道 利润 贡献 负责 。 ： 1 、 全日制 本科 及 以上学历 ， 数据分析 相关 专业 优先 ， 有小红书 电商 运营 或者 抖音 电商 运营 实习 经验 优先 ； 2 、 拥有 小红书 / 抖音 / 微信 达 人 对接 经验 或者 母婴 产品 实习 经验 者 优先 ； 3 、 具备 较强 执行力 ， 能 高效 完成 团队 分配 下来 任务 ； 4 、 积极主动 ， 良好 沟通 表达能力 ； 5 、 较 好 对客 服务 意识 ， 能 及时 响应 客户 提出 问题 ， 创业 型 公司 一定 认知 。,本科,2,2024-09-20,All Blu幼岚,上海省黄浦区蒙自路207号宏慧盟智园1号楼6楼,快速消费品,101~300人,2024,上海
成都微著企业管理有限公司,125,3个月,： 1 . 根据 客户 所在 行业 ， 客户 需求 以及 目标 职位 分析 ， 拟定 一套 完善 用人 寻访 目标 公司 候选人 寻访 方案 2 . 执行 寻访 计划 ， 筛选 面试 候选人 ， 初步 甄别 候选人 目标 职位 匹配 度 3 . 沟通 候选人 职位 意向 ， 职业生涯 发展 规划 4 . 撰写 候选人 人才 推荐 报告 ， 推荐 候选人 5 . 协调 客户 公司 候选人 面试 安排 ， 跟进 面试 进展 及时 反馈 面试 过程 问题 6 . 提供 候选人 背景 调查 ， 辅助 候选人 离职 7 . 客户 候选人 后续 跟踪 反馈 ： 1 .   统招 本科 或 硕士 学历 ， 性别 不 限 ， 专业 不限 2 .   适应力 强 ， 稳定性 好 ， 愿意 中高级 人才 推荐 行业 长期 发展 3 .   沟通 技巧 客户服务 技巧 良好 4 .   具有 强烈 实现 个人 成就 意识 5 .   能 积极 应对 挫折 压力 ， 乐于 接受 挑战 6 .   优秀 学习 能力 ， 及 逻辑 辨析 能力 7 .   自我 驱动 ， 结果 导向 8 .   良好 团队 意识 ， 注重 团队 合作,本科,5,2024-09-23,成都微著,眉山省彭山县恒大观澜府,咨询/法律/人力资源,11~50人,2024,眉山
商务实习生,175,3个月,： -   协助 收集 、 分析 、 提炼 、 整合 有效 商务 数据 及 行业动态 信息 ； -   协助 制作 商务 数据 报告 ， 跟进 项目 商务 对接 流程 ； -   协助 上级 管理 外部 客户关系 ， 撰写 项目 商务 文案 ； -   完成 上级领导 交办 其他 。 ： -   全日制 本科 或 硕士 在校学生 ； -   英语专业 、 工商管理 、 经济 ， 金融 ， 国际贸易 ， 国际 关系 相关 专业 ； -   具有 较强 中英文 流利 （ 书面 及 口语 ） 沟通 能力 ； -   熟练 Microsoft   Office ， 如 Word 、 Excel 、 PowerPoint 技能 ； -   优先 考虑 相关 实习 经验 应聘者 ； -   拥有 积极 乐观 、 细致 严谨 态度 ， 以及 积极 解决问题 主动 学习 能力 。 ： 【 实习 待遇 】 【 本科 】 每日 薪酬 150 元 / 天 。 【 硕士 】 每日 薪酬 200 元 / 天 。,本科,1,2024-09-23,阿莱亚体育,北京省朝阳区东坝郎园Station,广告|传媒|文化|体育,11~50人,2024,北京
平面设计实习生,140,3个月,： 协助 设计 团队 完成 品牌设计 ； 包括 但 不 限于 活动 物料 ， 品牌 推广 线上 线下 各类 平面设计 ， 以及 视频 动效 。 ： 1 、 设计 类 相关 专业 ， 视觉 传达 、 数媒 、 动画 专业 优先 ， 熟练 使用 Photoshop 、 Illustrator 及 After   Effect 设计 软件 ， 懂 摄影 加 分 。 2 、 一定 审美 能力 ， 良好 沟通 表达能力 ， 认真负责 ， 拥有 积极 渴望 学习 心态 ； 3 、 每周 时间 稳定 4 - 5 天 ； 4 、 提供 pdf 格式 设计 作品 及动效 作品 。 ： 1 、 周末 双休 ， 弹性 灵活 上班时间 ； 2 、 高端 舒适 办公 环境 ， 薪资 120 - 160 / 天 ， 免费 三餐 + 下午茶 ； 3 、 多彩的 节日 party + 免费 健身房 ， 大牛 导师 + 丰富 培训 课程 ； 4 、 全球化 业务 格局 视野 ， 无限 潜能 个人成长 空间 ； 5 、 轻松愉快 团队 氛围 ， 我们 想要 同样 简单 快乐 ， 使命 必达 ！,本科,2,2024-09-04,Mobvista汇量科技,广州省天河区猎德天盈广场东塔4344楼,互联网|游戏|软件,1001~3000人,2024,广州
基金运营实习生,115,3个月,： 1 、   日常 文档 、 数据文件 其他 文件 资料 分类 、 整理 、 归档 ； 2 、   配合 开展 日常 公司 运营 ； 3 、   完成 交办 其他 任务 。 ： 1 、 在校 大三 大四 学生 ， 一周 5 天 连续 到 岗 实习 （ 特殊 情况 除外 ） 2 、 自学能力 强 ， 认真 细心 ， 活泼开朗 ， 善于 沟通 ； 3 、 较 强 逻辑 能力 、 理解能力 语言 组织 能力 ； 4 、 熟练 使用 office 基本 办公 软件 。,本科,2,2024-09-09,弈倍投资,武汉省洪山区金禾中心1503,金融,11~50人,2024,武汉
量化开发实习生,150,6个月,： 锦徽 资本 成立 于 2021 年 4 月 ， 一家 专注 于 量化 投资 资产 管理机构 。 公司 创始人 清华大学 电子 工程 本科 ， 加大 伯克利 金融 工程硕士 。 具有 十余年 美国 期货 、 期权 衍生品 交易 经验 。 曾 芝加哥 数家 自营 交易 公司 （ Optiver ） 担任 交易员 、 基金 经理 及 合伙人 对于 交易 、 运营 、 产品设计 及 风险管理 具有 深刻 研究 及 理解 。 公司 核心 研发 团队 九人 ， 均 毕业 于清华 985 名校 ， 理工科 本科 、 硕士 、 博士学位 ， 皆 丰富 策略 实盘 运行 经验 。           锦徽 资本 专注 量化 投资 ， 运用 大 数据分析 方法 ， 基于 行情 数据 基本面 数据 ， 双引擎 驱动 数理 建模 ， 生成 不同 维度 因子 模型 ， 并 通过 模拟 回测 实盘 检验 ， 不断 验证 迭代 策略 。 目前 ， 锦徽 资本 已 发行 17 只 产品 ， 规模 达 十个 亿 。 已 研发 多个 股票 多头 及 CTA 期货 策略 ， 日后 可 针对 不同 需求 定制 配比 混合策略 ， 致力于 打造 优质 资产 管理机构 ， 投资者 提供 专业 高效 投资 管理 服务 。 岗位职责 ： 一 、 数据 开发 方向 1 . 协助 数据 开发 工程师 不同 种类 金融 数据 处理 ， 包括 但 不 限于 加工 、 清洗 、 入库 、 统计 核对 。 2 . 协助 优化 现有 存储体系 ， 根据 不同 数据 种类 设计 对应 数据表 。 3 . 协助 开发 内部 API ， 并 完成 REST 体系 下 前后 端 测试 。 4 . 协助 部署 不同 周期 数据 更新 / 检查程序 至 公司 内部 调度 平台 ， 并 参与 日常 维护 。 5 . 能 独立 完成 各个部门 交付 数据 性 任务 （ 不 局限于 表格 ， 图表 ， 自动化 任务 ） 。 二 、 Python 平台 开发 方向 1 . 协助 优化 / 维护 现有 Python 平台 各项 API 功能模块 （ 包括 但 不 限于 自动化 交易 / 回测 平台 ） 。 2 . 协助 开发 工程师 开发新 平台 功能 ， 并 协助 测试 。 3 . 协助 整理 现有 平台 功能 说明书 。 ： 任职 ： 1 . 毕业 于 国内外 一流 高校 ， 本科 及 以上学历 ， 金融 工程 、 大 数据 相关 专业 ， 每周 能够 参与 3 天 以上 ， 私募 基金 或 券商 相关 经历 者 优先 考虑 。 2 . 精通 Python 语言 ， Python 相关 基础知识 深入 研究 理解 ， 熟练 使用 相关 工具包 。 3 . 量化 富有 热情 ， 良好 团队 沟通 能力 ， 较强 自我 驱动力 学习 能力 ， 愿意 深耕 量化 行业 。 4 . 加 分项 ： 熟悉 C++ 语言 、 接触 / 清洗 过 不同 类型 金融 数据 或 数据库 （ 包括 建表 / 读写操作 ） 、 通过 FRM / CFA 一级 。 ： 机会 开发人员 探索 不同 金融 数据 奥妙 ， 探究 各类 量化 平台 原理 。,本科,5,2024-09-10,锦徽资本,上海省静安区安远路501弄梅山大楼2号楼901903室,金融,11~50人,2024,上海
量化开发实习生,150,6个月,： 锦徽 资本 成立 于 2021 年 4 月 ， 一家 专注 于 量化 投资 资产 管理机构 。 公司 创始人 清华大学 电子 工程 本科 ， 加大 伯克利 金融 工程硕士 。 具有 十余年 美国 期货 、 期权 衍生品 交易 经验 。 曾 芝加哥 数家 自营 交易 公司 （ Optiver ） 担任 交易员 、 基金 经理 及 合伙人 对于 交易 、 运营 、 产品设计 及 风险管理 具有 深刻 研究 及 理解 。 公司 核心 研发 团队 九人 ， 均 毕业 于清华 985 名校 ， 理工科 本科 、 硕士 、 博士学位 ， 皆 丰富 策略 实盘 运行 经验 。           锦徽 资本 专注 量化 投资 ， 运用 大 数据分析 方法 ， 基于 行情 数据 基本面 数据 ， 双引擎 驱动 数理 建模 ， 生成 不同 维度 因子 模型 ， 并 通过 模拟 回测 实盘 检验 ， 不断 验证 迭代 策略 。 目前 ， 锦徽 资本 已 发行 17 只 产品 ， 规模 达 十个 亿 。 已 研发 多个 股票 多头 及 CTA 期货 策略 ， 日后 可 针对 不同 需求 定制 配比 混合策略 ， 致力于 打造 优质 资产 管理机构 ， 投资者 提供 专业 高效 投资 管理 服务 。 任职 ： 1 . 毕业 于 国内外 一流 高校 ， 本科 及 以上学历 ， 金融 工程 、 大 数据 相关 专业 ， 每周 能够 参与 3 天 以上 ， 私募 基金 或 券商 相关 经历 者 优先 考虑 。 2 . 精通 Python 语言 ， Python 相关 基础知识 深入 研究 理解 ， 熟练 使用 相关 工具包 。 3 . 量化 富有 热情 ， 良好 团队 沟通 能力 ， 较强 自我 驱动力 学习 能力 ， 愿意 深耕 量化 行业 。 4 . 加 分项 ： 熟悉 C++ 语言 、 接触 / 清洗 过 不同 类型 金融 数据 或 数据库 （ 包括 建表 / 读写操作 ） 、 通过 FRM / CFA 一级 。 ： 岗位职责 ： 一 、 数据 开发 方向 1 . 协助 数据 开发 工程师 不同 种类 金融 数据 处理 ， 包括 但 不 限于 加工 、 清洗 、 入库 、 统计 核对 。 2 . 协助 优化 现有 存储体系 ， 根据 不同 数据 种类 设计 对应 数据表 。 3 . 协助 开发 内部 API ， 并 完成 REST 体系 下 前后 端 测试 。 4 . 协助 部署 不同 周期 数据 更新 / 检查程序 至 公司 内部 调度 平台 ， 并 参与 日常 维护 。 5 . 能 独立 完成 各个部门 交付 数据 性 任务 （ 不 局限于 表格 ， 图表 ， 自动化 任务 ） 。 二 、 Python 平台 开发 方向 1 . 协助 优化 / 维护 现有 Python 平台 各项 API 功能模块 （ 包括 但 不 限于 自动化 交易 / 回测 平台 ） 。 2 . 协助 开发 工程师 开发新 平台 功能 ， 并 协助 测试 。 3 . 协助 整理 现有 平台 功能 说明书 。 ： 机会 开发人员 探索 不同 金融 数据 奥妙 ， 探究 各类 量化 平台 原理 。,本科,5,2024-09-10,锦徽资本,上海省静安区安远路501弄梅山大楼2号楼901903室,金融,11~50人,2024,上海
税务实习生,185,3个月,"： 1 、 发票 开具 、 邮寄 、 整理 归档 ； 2 、 每月 协助 发票 验旧 ； 3 、 其他 临时 事项 ； ： 1 、 25 届 本科 应届生 ， 税务 专业 优先 ， 需 实习 3 个 月 以上 2 、 最好 税务 专业 ， 或者 税务 相关 实习 经历 ； 3 、 细心 ， 主要 开票 ， 开票 操作 熟练 、 精准 ； 4 、 耐心 ， 办公 软件 熟练 ， 能 尽快 熟悉 相关 操作 ； "" ： 大 平台 实习 经验",本科,20,2024-09-19,泰伦理信,深圳省龙岗区深圳市龙岗区星河WORLDG座6楼,咨询/法律/人力资源,11~50人,2024,深圳
国际市场专员,225,3个月,： 1 .   良好 英文 功底 ， 能够 快速 检索 相关 外网 资讯 。 2 .   对于 国际 教育 兴趣 ， 公众 号 、 短 视频 媒体 用户 矩阵 建设 兴趣 。 3 .   国际 教育 资讯 翻译 重点 内容 抓取 。 4 .   熟悉 微信 公众 号 排版 流程 简单 排版 ， 或 愿意 学习 。 5 .   可能 涉及 到 Tiktok ， Facebook 海外 平台 客户 . ： 1 .   英语 读写能力 良好 ， 翻译 准确 精炼 ， 中文 文笔 准确 清晰 2 .     熟悉 各个 媒体 平台 （ 如 ： 抖音 ， 视频 号 ， 小红书 ， 微信 公众 号 ） ， 熟悉 微信 公众 号 编辑 排版 或者 乐于 学习   3 .   认真细致 、 思维 敏捷 ， 责任心 强 ： 我们 能 提供 给 ： 1 .   良好 、 宽松 办公 环境 ， 办公 地点 知春里 融科 资讯中心 。 每周 不 需要 每天 坐班 ， 也 不 需要 加班 ， 且 可以 结合 情况 远程 办公 。 2 .   200 元 / 天 实习 薪酬 实习 证明 ， 如果 能力 优秀 ， 我们 可以 再 聊聊 。 3 .   我们 会 不定期 福利 聚餐 ， 如果 愿意 可以 一起 加入 ~ 简历 投递 ： nina . zhang @ cengage . com,本科,2,2024-09-19,圣智学习出版集团,北京省海淀区融科资讯中心C座,广告|传媒|文化|体育,101~300人,2024,北京
新媒体运营专员,190,3个月,： 1 . 儿童 类图书 产品 新 媒体 平台 推广 ， 对接 KOL 达人 ， 协助 达 人 按时 产出 合作 内容 ， 建立 合作 关系 。 2 . 官方 账号 协助 运营 ， 按时 发布 内容 ， 粉丝 沟通 。 3 . 童书 市场调研 ， 线下 活动 开展 ， 配合 主管 完成 其他 事务 。 ： 1 . 网感 好 ， 了解 至少 一个 新 媒体 平台 （ 小红书 、 微信 视频 号 、 抖音 、 知乎 ） 运行机制 ， 较 强 传播 、 创新能力 （ 有过 账号 相关 运营 经验 者 优先 考虑 ） 。 2 . 一定 文字 功底 基础 图片素材 处理 能力 （ 摄影 、 修图 、 视频剪辑 特长 者 优先 考虑 ） ； 3 . 沟通 能力 强 ， 能 胜任 多个 KOL 创作者 沟通 能力 。 ： 1 .   来自 全球 知名 出版社 之一 美国 圣智 出版社 实习 证明 。 2 .   200 元 日薪 ， 以及 线 上线 下 相结合 灵活 办公 模式 ， 一周 仅 需 三天 。 3 .   友好 和谐 办公 氛围 ， 以及 不 定时 福利 聚餐 活动 ， 如果 兴趣 ， 欢迎 一起 参加 。,不限,2,2024-09-19,圣智学习出版集团,北京省海淀区融科资讯中心C座,广告|传媒|文化|体育,101~300人,2024,北京
线上兼职,150,长期,： 年满 18 岁 ！ 足够 时间 ， 崩坏 十天 1000 每天 3 小时 给 厂商 做 宣发 ， 可开 实习 报告 ， 在家 可 做 ， 需要 交录 屏 ： 听 指挥 ！ 不要 嫌 麻烦,不限,999,2024-09-30,茉蔻文化,省,互联网|游戏|软件,101~300人,2024,
游戏主播,150,长期,： 年满 18 岁 ！ 足够 时间 ， 崩坏 十天 1000 每天 3 小时 ， 平安 京 1500 三 小时 22 天 ， 庆 余年 100 一天 ， dnf ， 塔 瑞斯 ， 钓鱼 大师 ， 游戏 推广 给 厂商 做 宣发 ， 可开 实习 报告 ， 在家 可 做 ， 部分 需要 交录 屏 ： 听 指挥 ！ 不要 嫌 麻烦,不限,999,2024-09-30,茉蔻文化,省,互联网|游戏|软件,101~300人,2024,
猎头实习生,110,3个月,： 1 . 根据 客户 所在 行业 ， 客户 需求 以及 目标 职位 分析 ， 拟定 一套 完善 用人 寻访 目标 公司 候选人 寻访 方案 2 . 执行 寻访 计划 ， 筛选 面试 候选人 ， 初步 甄别 候选人 目标 职位 匹配 度 3 . 沟通 候选人 职位 意向 ， 职业生涯 发展 规划 4 . 撰写 候选人 人才 推荐 报告 ， 推荐 候选人 5 . 协调 客户 公司 候选人 面试 安排 ， 跟进 面试 进展 及时 反馈 面试 过程 问题 6 . 提供 候选人 背景 调查 ， 辅助 候选人 离职 7 . 客户 候选人 后续 跟踪 反馈 ： 1 .   统招 本科 或 硕士 学历 ， 性别 不 限 ， 专业 不限 2 .   适应力 强 ， 稳定性 好 ， 愿意 中高级 人才 推荐 行业 长期 发展 3 .   沟通 技巧 客户服务 技巧 良好 4 .   具有 强烈 实现 个人 成就 意识 5 .   能 积极 应对 挫折 压力 ， 乐于 接受 挑战 6 .   优秀 学习 能力 ， 及 逻辑 辨析 能力 7 .   自我 驱动 ， 结果 导向 8 .   良好 团队 意识 ， 注重 团队 合作,本科,10,2024-09-29,道合咨询,成都省高新区天晖南街169号中航城市广场804,咨询/法律/人力资源,51~100人,2024,成都
